,video_id,title,publishedate,channel_name,Thumbnails_url,tags,views,likes,dislikes,comments
0,SaF-hAQA99Y,wannabe,2007-03-03 22:32:48+00:00,Ariana Grande,https://i.ytimg.com/vi/SaF-hAQA99Y/mqdefault.jpg,  wannabe    spice    girls    osnapitzari    lol  ,12425873,1445942,10724,102426
1,RQTgJRwMdKQ,ariana grande - god is a woman (lyric video),2018-07-13 03:59:59+00:00,Ariana Grande,https://i.ytimg.com/vi/RQTgJRwMdKQ/mqdefault.jpg,  ariana grande    god is a woman    lyric video    sweetener  ,138178251,1476964,63084,86918
2,5OeR5XBEahU,ariana grande - thank u  next (audio),2018-11-04 03:00:08+00:00,Ariana Grande,https://i.ytimg.com/vi/5OeR5XBEahU/mqdefault.jpg,  ariana grande    thank u next  ,164551569,1729135,49989,79670
3,t0pryRrJvfI,ariana grande and victoria mon t - monopoly,2019-04-01 20:58:47+00:00,Ariana Grande,https://i.ytimg.com/vi/t0pryRrJvfI/mqdefault.jpg,  ariana grande    victoria monet    monopoly  ,50594341,1386774,74261,65838
4,7_rftpd0u0U,ariana grande - imagine (lyric video),2018-12-14 05:00:07+00:00,Ariana Grande,https://i.ytimg.com/vi/7_rftpd0u0U/mqdefault.jpg,  ariana grande    imagine    lyric video    thank u next  ,68751856,1092624,27184,57108
5,bCdETAW4-N4,makeup tutorial by ariana grande (i don t know how to do make up),2012-10-28 02:42:35+00:00,Ariana Grande,https://i.ytimg.com/vi/bCdETAW4-N4/mqdefault.jpg,  ariana    grande    make    up    makeup    tutorial    dont    know    how    to    do    osnapitzari    cat    valentine    love    you    if    youre    reading    these    tags    hi  ,25190043,534588,17215,56419
6,UjzENV7rhhI,emotions - ariana grande (mariah carey cover),2012-09-07 04:30:31+00:00,Ariana Grande,https://i.ytimg.com/vi/UjzENV7rhhI/mqdefault.jpg,  ariana    grande    emotions    cover    mariah    carey    cat    valentine    nickelodeon    tiny    elephants    love  ,39274714,676055,10384,50879
7,QTPW_cIYp9o,ariana grande - breathin,2018-10-10 23:31:05+00:00,Ariana Grande,https://i.ytimg.com/vi/QTPW_cIYp9o/mqdefault.jpg,  ariana grande    breathin    sweetener    piggy smallz  ,7138450,457202,15386,39306
8,1BYr1br2Ee4,ariana grande - breathin (audio),2018-08-24 04:00:10+00:00,Ariana Grande,https://i.ytimg.com/vi/1BYr1br2Ee4/mqdefault.jpg,  ariana grande    sweetener    breathin    audio  ,121276465,967467,20924,36894
9,wtGM6tMOVBw,a fun little video we made   ,2009-10-24 00:36:47+00:00,Ariana Grande,https://i.ytimg.com/vi/wtGM6tMOVBw/mqdefault.jpg,  ariana    grande    matt    bennett    leon    thomas    avan    jogia    liz    gillies    victorious    nickelodeon    osnapitzari    danwarp    lol    smiles    love  ,6481991,415017,1632,25433
